,id,title,release_year,age_certification,runtime,production_countries,imdb_score
227,tm94606,Let Me In,2010,R,116,"['GB', 'US']",7.1
228,tm102337,A Nightmare on Elm Street,2010,R,95,['US'],5.2
229,tm159901,Miss Congeniality 2: Armed and Fabulous,2005,PG-13,115,['US'],5.1
230,tm74780,The Bucket List,2007,PG-13,97,['US'],7.4
231,tm24088,Scary Movie 4,2006,PG-13,83,['US'],5.1
232,tm111600,The Sweetest Thing,2002,R,84,['US'],5.1
233,tm88045,How Do You Know,2010,PG-13,121,['US'],5.4
234,tm78919,Mr. Bean's Holiday,2007,G,90,"['US', 'FR', 'DE', 'GB']",6.4
235,tm173066,The Interpreter,2005,PG-13,128,"['GB', 'US', 'FR', 'DE']",6.4
236,tm118637,John Q,2002,PG-13,116,['US'],7.0
237,tm142564,3 Idiots,2009,PG-13,170,['IN'],8.4
238,tm57190,The One,2001,PG-13,87,['US'],5.9
239,tm137362,The Texas Chainsaw Massacre,2003,R,98,['US'],6.2
240,tm148379,The Cat in the Hat,2003,PG,82,['US'],4.0
241,tm137342,Tears of the Sun,2003,R,121,['US'],6.6
242,tm90864,Due Date,2010,R,95,['US'],6.5
243,tm32144,We Are Marshall,2006,PG,131,['US'],7.0
244,tm141707,Blood and Bone,2009,R,93,['US'],6.7
245,tm150214,Freddy vs. Jason,2003,R,97,"['IT', 'US']",5.7
246,tm81030,The Golden Compass,2007,PG-13,113,"['GB', 'US']",6.1
247,tm147211,The Men Who Stare at Goats,2009,R,94,"['US', 'GB']",6.2
248,tm78671,Cleaner,2007,R,88,['US'],6.1
249,tm27268,Monster House,2006,PG,91,['US'],6.6
250,tm86189,Good Luck Chuck,2007,,101,"['US', 'CA']",5.6
251,tm700,"10,000 BC",2008,PG-13,109,"['US', 'ZA']",5.1
252,tm101249,Cop Out,2010,R,107,['US'],5.5
253,tm161263,The Cave,2005,PG-13,97,"['DE', 'US']",5.1
254,tm81270,Starsky & Hutch,2004,PG-13,101,['US'],6.1
255,tm89684,New York Minute,2004,PG,87,['US'],4.9
256,tm165593,Rumor Has It...,2005,PG-13,97,"['DE', 'US']",5.5
257,tm112381,Comedian,2002,R,82,['US'],6.9
258,tm39487,Catch and Release,2006,PG-13,111,['US'],5.9
259,tm43399,Lagaan: Once Upon a Time in India,2001,PG,224,['IN'],8.1
260,tm186461,No Direction Home: Bob Dylan,2005,G,208,"['GB', 'US', 'JP']",
261,tm29555,Friends with Money,2006,R,88,['US'],5.8
262,tm103095,Ip Man 2,2010,R,108,"['HK', 'CN']",7.5
263,tm97070,Life As We Know It,2010,PG-13,114,['US'],6.5
264,tm101334,Death at a Funeral,2010,R,92,['US'],5.7
265,tm183963,Dreamer: Inspired By a True Story,2005,PG,106,['US'],6.8
266,tm76428,Jackass 2.5,2007,,61,['US'],
267,tm77649,Premonition,2007,PG-13,96,['US'],5.9
268,tm86924,Soul Plane,2004,R,86,['US'],4.5
269,tm26638,The Texas Chainsaw Massacre: The Beginning,2006,R,91,['US'],5.8
270,tm78189,The Contractor,2007,R,98,"['GB', 'US', 'BG']",
271,tm104880,Louis C.K.: Hilarious,2010,,84,['US'],8.4
272,tm22294,Deck the Halls,2006,PG,93,['US'],5.0
273,tm100015,Takers,2010,PG-13,107,['US'],6.2
274,tm83786,Like Stars on Earth,2007,PG,165,['IN'],8.3
275,tm130574,Did You Hear About the Morgans?,2009,PG-13,103,['US'],4.9
276,tm114476,Stuart Little 2,2002,G,78,['US'],5.5
277,tm118462,Half Past Dead,2002,PG-13,98,"['DE', 'US']",4.6
278,tm86995,Christmas with the Kranks,2004,PG,99,['US'],5.4
279,tm97544,Alpha and Omega,2010,PG,88,"['CA', 'US', 'IN']",5.1
280,tm53999,Open Season 2,2008,PG,76,['US'],
281,tm164557,Initial D,2005,,107,"['JP', 'HK']",6.3
282,tm80059,Naruto Shippuden the Movie,2007,PG-13,94,['JP'],6.7
283,tm135451,Gifted Hands: The Ben Carson Story,2009,,86,['US'],7.6
284,tm71558,The Legend of the Nahuala,2007,PG,80,['MX'],6.1
285,tm134235,One Piece: Strong World,2009,PG-13,114,['JP'],7.5
286,tm160800,Chaos,2005,R,106,"['CA', 'GB', 'US']",6.4
287,tm22342,Waist Deep,2006,R,97,['US'],5.8
288,tm22636,Trailer Park Boys: The Movie,2006,R,95,['CA'],7.1
289,tm85549,Tito,2004,,120,['EG'],7.2
290,tm100688,Even the Rain,2010,,104,"['FR', 'MX', 'ES']",7.4
291,tm22493,Katt Williams: The Pimp Chronicles Pt. 1,2006,,46,['US'],7.6
292,tm103732,Udaan,2010,R,138,['IN'],8.1
293,tm73058,Om Shanti Om,2007,PG,162,['IN'],6.7
294,tm138497,Trailer Park Boys: Countdown to Liquor Day,2009,R,102,['CA'],7.3
295,tm36475,Kabhi Khushi Kabhie Gham,2001,G,210,['IN'],7.4
296,tm144345,Kal Ho Naa Ho,2003,PG,186,['IN'],7.9
297,tm76835,Jab We Met,2007,PG-13,144,['IN'],7.9
298,tm38896,From Within,2008,R,89,['US'],5.6
299,tm86051,Black Friday,2004,R,161,['IN'],8.4
300,tm29269,Jodhaa Akbar,2008,PG-13,214,['IN'],7.5
301,tm91046,"Cairo 6,7,8",2010,,100,['EG'],7.4
302,tm75022,Zach Galifianakis: Live at the Purple Onion,2007,,61,['US'],7.2
303,tm41508,First Sunday,2008,PG-13,96,['US'],4.5
304,tm49405,Inuyasha the Movie: Affections Touching Across Time,2001,PG-13,99,['JP'],7.2
305,tm82765,Swades,2004,G,189,"['IN', 'US']",8.1
306,tm33981,Bon Cop Bad Cop,2006,PG-13,116,['CA'],6.5
307,tm95238,The Boy Who Cried Werewolf,2010,G,97,"['US', 'CA']",5.9
308,tm32885,Rang De Basanti,2006,PG-13,157,['IN'],8.1
309,tm72587,Guru,2007,PG-13,166,['IN'],7.7
310,tm99776,Whitney Cummings: Money Shot,2010,,48,['US'],6.2
311,tm83175,Welcome,2007,,160,['IN'],7.0
312,tm139349,Jim Gaffigan: King Baby,2009,,72,['US'],7.7
313,tm59880,Mike Birbiglia: What I Should Have Said Was Nothing,2008,,60,['US'],7.6
314,tm61056,Dil Chahta Hai,2001,G,184,['IN'],8.1
315,tm129763,Anbe Sivam,2003,,160,['IN'],8.7
316,tm44378,Tony Manero,2008,,97,['CL'],6.8
317,tm25842,A Lion in the House,2006,,225,['US'],8.7
318,tm34846,Bleach the Movie: Fade to Black,2008,PG-13,94,['JP'],7.1
319,tm71119,Delta Farce,2007,PG-13,90,['US'],3.6
320,tm170873,My Suicide,2009,R,110,['US'],7.0
321,tm22540,Phir Hera Pheri,2006,,155,['IN'],7.1
322,tm96037,Naruto Shippuden the Movie: The Lost Tower,2010,PG-13,85,['JP'],6.8
323,tm110923,Divine Intervention,2002,,92,"['FR', 'MA', 'DE', 'PS']",6.6
324,tm168869,Da Kath & Kim Code,2005,,90,['AU'],7.3
325,tm147686,Kevin Hart: I'm a Grown Little Man,2009,R,73,['US'],7.5
326,tm93612,Bleach the Movie: Hell Verse,2010,PG-13,94,['JP'],7.4
327,tm36164,Naruto Shippuden the Movie: Bonds,2008,PG-13,90,['JP'],6.8
328,tm30170,Don,2006,PG-13,167,['IN'],7.1
329,tm29731,Chup Chup Ke,2006,G,165,['IN'],6.9
330,tm147494,Naruto Shippuden the Movie: The Will of Fire,2009,PG-13,95,['JP'],7.0
331,tm44530,Fashion,2008,PG-13,167,['IN'],6.9
332,tm89936,Arahan,2004,,114,['KR'],6.6
333,tm81461,Whisky,2004,,99,"['AR', 'DE', 'UY', 'ES']",7.1
334,tm155761,Ajab Prem Ki Ghazab Kahani,2009,PG,150,['IN'],6.3
335,tm48083,Te quiero,2001,,85,['FR'],5.0
336,tm84348,Doing Hard Time,2004,R,95,['US'],
337,tm175687,Sir! No Sir!,2005,,85,['US'],7.6
338,tm33067,Race,2008,PG-13,161,['IN'],7.0
339,tm70222,Sivaji: The Boss,2007,PG-13,189,['IN'],7.5
340,tm105278,Inuyasha the Movie 2: The Castle Beyond the Looking Glass,2002,PG-13,100,['JP'],7.3
341,tm352243,Interview with a Serial Killer,2008,PG-13,44,['US'],5.9
342,tm82718,G.O.R.A.,2004,PG-13,127,['TR'],8.0
343,tm98975,Guzaarish,2010,PG,126,['IN'],7.4
344,tm101609,Raajneeti,2010,PG,167,['IN'],7.1
345,tm418157,Monty Python Conquers America,2008,,55,[],
346,tm39557,Jaane Tu... Ya Jaane Na,2008,,146,['IN'],7.4
347,tm150521,Accident,2009,R,89,['HK'],6.6
348,tm30289,Jeff Dunham: Arguing with Myself,2006,PG-13,76,['US'],8.0
349,tm141117,Chalte Chalte,2003,PG-13,167,['IN'],6.5
350,tm80339,Naruto: Ninja Clash in the Land of Snow,2004,PG-13,90,['JP'],6.6
351,tm33729,Taxi No. 9 2 11,2006,,116,['IN'],7.2
352,tm93004,Yuva,2004,PG,161,['IN'],7.3
353,tm145243,Wake Up Sid,2009,,138,['IN'],7.6
354,tm34524,"One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom",2008,PG-13,95,['JP'],7.0
355,tm111226,Awara Paagal Deewana,2002,,169,['IN'],6.2
356,tm23441,Kabhi Alvida Naa Kehna,2006,PG,184,['IN'],6.0
357,tm166293,The Blue Umbrella,2005,,90,['IN'],7.3
358,tm24576,Naruto: Guardians of the Crescent Moon Kingdom,2006,PG-13,95,['JP'],6.4
359,tm92977,Ishqiya,2010,R,115,['IN'],7.3
360,tm77348,Life in a Metro,2007,,124,['IN'],7.4
361,tm91323,I Hate Luv Storys,2010,PG,129,['IN'],5.6
362,tm88366,Main Hoon Na,2004,PG,179,['IN'],7.0
363,tm156575,Billu,2009,PG,137,['IN'],6.3
364,tm164389,Paheli,2005,PG-13,141,['IN'],6.3
365,tm37945,Rock On!!,2008,,144,['IN'],7.7
366,tm106625,"LSD: Love, Sex aur Dhokha",2010,PG-13,108,['IN'],7.2
367,tm65142,One Piece: The Desert Princess and the Pirates: Adventure in Alabasta,2007,PG-13,89,['JP'],6.9
368,tm99450,Break Ke Baad,2010,,120,['IN'],5.1
369,tm149209,Kaminey,2009,PG-13,135,['IN'],7.4
