Unnamed: 0,id,title,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,,history,sport,war,horror,romance,crime,reality,music,comedy,thriller,european,family,fantasy,western,animation,documentation,scifi,drama,action
2287,tm981451,Death to 2020,2020,,71,['comedy'],"['GB', 'US']",,6.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2288,tm822832,Lingua Franca,2020,,95,['drama'],"['PH', 'US']",,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2289,tm680024,Surviving R. Kelly: The Impact,2019,,120,['documentation'],['US'],,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2290,tm678851,Article 15,2019,,130,"['crime', 'drama', 'thriller']",['IN'],,8.2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2291,tm935895,The Life Ahead,2020,PG-13,94,"['drama', 'european']","['IT', 'US']",,6.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2292,tm855535,The Hater,2020,,135,"['drama', 'thriller', 'european']",['PL'],,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
2293,tm893816,Desperados,2020,,105,"['comedy', 'romance']",['US'],,5.2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2294,tm860965,Dave Chappelle: The Kennedy Center Mark Twain Prize,2020,,86,['comedy'],['US'],,7.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2295,tm371882,Ne Zha,2019,PG-13,110,['fantasy'],['CN'],,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2296,tm890674,Becoming,2020,PG,89,['documentation'],['US'],,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2297,tm447520,Sebastian Maniscalco: Stay Hungry,2019,,65,['comedy'],['US'],,7.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2298,tm977997,Captain Underpants: Mega Blissmas,2020,G,46,"['animation', 'comedy', 'family']",['US'],,5.2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
2299,tm812998,Miracle in Cell No. 7,2019,,132,['drama'],['TR'],,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2300,tm857430,The Occupant,2020,R,103,"['thriller', 'european', 'horror', 'drama']",['ES'],,6.4,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
2301,tm452573,Gabriel Iglesias: One Show Fits All,2019,,90,"['comedy', 'documentation']",['US'],,7.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2302,tm834664,Nikki Glaser: Bangin',2019,,63,['comedy'],['US'],,6.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2303,tm493511,The Sky Is Pink,2019,,143,"['family', 'drama', 'romance']",['IN'],,7.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
